pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol
TOI-663 d,TOI-663,1.92,5.2,0.0576,3681.0,0.514,482.0,Transit,2024,7.1027268,,0.512,4.7266,12.9
TOI-2589 b,TOI-2589,12.10569916,1112.3994245,0.3,5579.0,0.93,592.0,Transit,2023,61.6277,0.522,1.07,4.35,
TOI-4495.01,TOI-4495,3.63045,,0.061732577,6156.0,1.168817,1382.67,Transit,2024,5.1830043,,1.34,4.25196,346.626
TOI-128.01,TOI-128,2.21898,,0.05381019,6086.0,0.851969,1344.51,Transit,2024,4.9404681,,1.13,4.26269,182.406
TOI-4527.01,TOI-4527,0.9086617,,0.008332353,3702.0,0.483901,1362.93,Transit,2024,0.3994445,,0.485948,4.75,571.5072
TOI-261.01,TOI-261,3.0449863,,0.034792189,5890.3,0.496728,1722.49,Transit,2024,3.3639254,,1.28018,3.92,874.7956
TOI-2447 b,TOI-2447,9.60609646,124.90656395,0.347,5730.0,1.034,414.0,Transit,2024,69.33684,0.17,1.006,4.3,
NGTS-26 b,NGTS-26,14.88552637,92.80589484,0.049,5550.0,0.96,1331.0,Transit,2024,4.5199279,0.0,1.16,4.1,523.0
HAT-P-65 b,HAT-P-65,18.05766791,176.07693748,0.04042,5872.0,1.297,1818.0,Transit,2016,2.60544751,,1.666,4.1079,1821.0
SPECULOOS-3 b,SPECULOOS-3,0.977,,0.00733,2800.0,0.1009,553.0,Transit,2024,0.71912603,,0.123,5.265,15.54
TOI-4336 A b,TOI-4336 A,2.12,,0.0872,3298.0,0.331,308.0,Transit,2024,16.336334,,0.328,4.927,1.5
TIC 139270665 b,TIC 139270665,7.22979255,147.15455244,0.163,5844.0,1.035,703.0,Transit,2024,23.624,0.105,1.016,4.439,40.3
TOI-1899 b,TOI-1899,11.09689089,212.94503269,0.1525,3926.0,0.632,378.0,Transit,2020,29.090312,0.044,0.607,4.672,3.4
LTT 3780 c,LTT 3780,2.39,8.04,0.0757,3358.0,0.381,359.0,Transit,2020,12.252284,0.024,0.38,4.85,2.76
LTT 3780 b,LTT 3780,1.325,2.46,0.01195,3358.0,0.381,903.0,Transit,2020,0.76837931,0.0,0.38,4.85,111.0
LHS 1678 c,LHS 1678,0.941,,0.0327,3490.0,0.345,,Transit,2021,3.694284,0.039,0.329,,13.5
TOI-4515 b,TOI-4515,12.17,637.0,0.118,5433.0,0.949,705.0,Transit,2024,15.266446,0.461,0.86,4.48,
TOI-1273 b,TOI-1273,11.09689089,70.55790635,0.0549,5690.0,1.06,1211.0,Transit,2024,4.631296,0.055,1.06,4.37,
LHS 1140 c,LHS 1140,1.272,1.91,0.027,3096.0,0.1844,422.0,Transit,2018,3.77794,0.05,0.2159,5.041,5.3
LHS 1140 b,LHS 1140,1.73,5.6,0.0946,3096.0,0.1844,226.0,Transit,2017,24.73723,0.043,0.2159,5.041,0.43
HD 73583 c,HD 73583,2.73,22.5,0.1233,4582.0,0.702,517.8,Transit,2022,18.8805,0.093,0.677,4.623,11.76
HD 73583 b,HD 73583,2.84,15.9,0.05995,4582.0,0.702,742.7,Transit,2022,6.3980661,0.294,0.677,4.623,46.2
TOI-238 c,TOI-238,2.18,6.7,0.0749,5059.0,0.79,696.0,Radial Velocity,2024,8.465651,0.36,0.733,4.577,58.3
HD 63433 d,HD 63433,1.073,,0.0503,5688.0,0.99,1040.0,Transit,2023,4.209075,0.16,0.912,4.52,
TOI-544 b,TOI-544,2.018,2.89,0.0225,4169.0,0.631,999.0,Transit,2022,1.548352,0.0,0.623,4.68,
HD 110067 e,HD 110067,1.94,3.9,0.1785,5266.0,0.798,533.0,Transit,2023,30.793091,,0.788,4.54,
HD 110067 f,HD 110067,2.601,5.04,0.2163,5266.0,0.798,489.0,Transit,2023,41.05854,,0.788,4.54,
HD 110067 g,HD 110067,2.607,8.4,0.2621,5266.0,0.798,440.0,Transit,2023,54.76992,,0.788,4.54,
HD 110067 d,HD 110067,2.852,8.52,0.1362,5266.0,0.798,602.0,Transit,2023,20.519617,,0.788,4.54,
